Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Quant_Score
280,RIVN,14.94,-0.18,0.45,0.3893,-0.0318
281,RGTI,16.27,-0.2,0.61,0.2603,-0.0325
282,CDW,114.6,-10.31,0.21,0.0153,-0.0331
283,SAP,189.9,-6.56,0.32,0.0156,-0.0332
284,SMCI,30.49,-0.64,0.45,0.1174,-0.0339
285,ADT,6.41,-1.41,0.33,0.0797,-0.0369
286,QUBT,7.41,-0.69,0.43,0.1336,-0.0397
287,DUOL,97.27,-12.16,0.29,0.0117,-0.0405
288,MAT,16.07,-1.43,0.11,0.2479,-0.0409
289,OTIS,83.0,-6.92,0.26,0.0234,-0.0421
290,TDUP,3.49,-1.14,0.18,0.2064,-0.0424
291,LULU,157.64,-21.85,0.54,0.0037,-0.0441
292,GIS,39.82,-5.6,0.37,0.0213,-0.0445
293,XLU,47.08,-0.12,0.43,0.9447,-0.0489
294,LYFT,13.03,-0.5,0.46,0.212,-0.0492
295,RELY,15.43,-0.76,0.31,0.2198,-0.051
296,NNDM,1.78,-0.21,0.74,0.3287,-0.0514
297,TCOM,51.72,-2.05,0.34,0.0759,-0.0525
298,BILL,39.45,-3.04,0.3,0.0617,-0.0555
299,OPEN,4.76,-0.35,0.4,0.4108,-0.0561
300,PYPL,44.67,-2.21,0.23,0.1154,-0.0574
301,HUM,167.56,-7.08,0.31,0.0265,-0.0575
302,TEF,4.0,-0.27,1.01,0.2109,-0.0576
303,BSX,68.8,-6.35,0.31,0.0296,-0.0577
304,AFRM,47.14,-0.73,0.34,0.235,-0.0579
305,MA,497.15,-0.85,0.28,0.2496,-0.06
306,LAC,4.39,-0.65,0.37,0.2527,-0.0609
307,BF-B,23.49,-6.65,0.47,0.0203,-0.0634
308,ARKO,5.22,-0.81,0.19,0.4299,-0.0649
309,KMX,41.37,-1.78,0.2,0.1821,-0.0661
310,FUTU,143.82,-0.15,0.8,0.555,-0.0662
311,WMB,73.25,-0.25,0.32,0.8645,-0.0683
312,WB,9.76,-0.55,0.26,0.4747,-0.0685
313,RIG,6.34,-0.2,0.4,0.876,-0.069
314,CRON,2.51,-0.23,0.61,0.4945,-0.0708
315,CLSK,9.87,-0.48,0.75,0.1992,-0.0716
316,RENT,4.48,-1.95,0.47,0.079,-0.0718
317,TLRY,6.87,-1.05,0.41,0.1711,-0.073
318,KHC,22.56,-1.82,0.44,0.0959,-0.0773
319,ACI,17.24,-1.42,0.24,0.2308,-0.08
320,CCI,86.64,-2.0,0.15,0.2667,-0.0803
321,LW,40.21,-7.75,0.58,0.018,-0.0813
322,CUBE,38.72,-1.25,0.17,0.3978,-0.0852
323,AFG,128.65,-2.2,0.07,0.5567,-0.086
324,ALL,208.23,-0.54,0.2,0.829,-0.0896
325,PLBY,1.72,-0.53,0.39,0.4432,-0.0915
326,LI,17.31,-1.36,0.76,0.0916,-0.0948
327,WMT,126.24,-0.51,0.23,0.8475,-0.0975
328,HOLX,75.21,-0.14,0.82,0.8203,-0.0977
329,ADBE,253.29,-1.88,1.91,0.0287,-0.103
330,T,27.77,-0.58,0.22,0.827,-0.1037
331,PGX,11.19,-0.24,0.6,0.747,-0.1045
332,ARCC,17.82,-1.36,0.55,0.14,-0.105
333,QYLD,17.46,-0.09,1.24,0.9355,-0.105
334,NTAP,98.9,-0.97,0.24,0.458,-0.106
335,TME,14.07,-0.9,0.51,0.238,-0.108
336,MTCH,30.7,-0.59,0.51,0.3718,-0.1113
337,ARE,49.19,-4.53,0.26,0.0944,-0.1114
338,GDDY,81.55,-10.75,0.18,0.0594,-0.1122
339,HRL,22.68,-3.11,0.22,0.1705,-0.1143
340,VIPS,16.04,-1.38,0.19,0.4435,-0.1171
341,KKR,86.2,-9.52,0.3,0.0409,-0.1175
342,TSCO,47.42,-5.85,0.26,0.0794,-0.1215
343,VICI,28.86,-1.42,0.24,0.3692,-0.1237
344,GT,7.0,-1.79,0.81,0.0888,-0.1283
345,JBLU,4.1,-1.63,0.52,0.1529,-0.1291
346,ETSY,52.35,-2.05,0.19,0.3374,-0.1297
347,XRAY,11.35,-1.79,0.44,0.1652,-0.13
348,MKC,58.43,-11.57,0.27,0.0426,-0.132
349,CMCSA,30.27,-1.34,0.25,0.4153,-0.139
350,CMG,32.51,-3.99,0.47,0.0745,-0.1392
351,LUMN,6.54,-0.91,0.4,0.3949,-0.1425
352,SOFI,17.67,-0.99,0.39,0.3757,-0.1441
353,PFE,26.7,-0.43,0.39,0.8536,-0.1446
354,JMIA,7.22,-1.23,0.28,0.4284,-0.145
355,CAG,16.69,-2.41,0.65,0.0955,-0.1497
356,FNKO,4.09,-0.99,1.02,0.1508,-0.1523
357,LVS,53.45,-1.6,0.16,0.5895,-0.1537
358,API,3.84,-0.92,0.58,0.2945,-0.1581
359,QBTS,17.76,-0.9,0.52,0.3526,-0.1657
360,AGNC,10.31,-0.88,0.28,0.6779,-0.1671
361,ACM,89.66,-5.68,0.29,0.1042,-0.1704
362,SJM,106.54,-2.81,0.11,0.5546,-0.1705
363,APO,101.96,-12.17,0.51,0.0277,-0.1709
364,GPN,69.06,-9.02,0.27,0.0746,-0.1793
365,TSLL,14.01,-1.24,0.62,0.241,-0.1849
366,ACP,5.28,-0.27,1.01,0.7251,-0.1963
367,AEG,6.81,-0.61,0.62,0.5379,-0.2027
368,SHY,82.54,-0.29,0.77,0.9138,-0.2063
369,INTC,45.61,-0.51,0.54,0.7566,-0.2068
370,MFC,33.55,-1.89,0.18,0.6297,-0.2112
371,UMC,9.32,-1.6,0.25,0.5468,-0.219
372,PAGS,9.51,-1.43,0.29,0.5595,-0.2299
373,ABT,108.07,-6.51,0.42,0.0839,-0.2311
374,KWEB,30.2,-2.05,0.39,0.2966,-0.2349
375,NLY,22.03,-0.99,0.33,0.7391,-0.2368
376,LYV,156.96,-1.01,0.33,0.7068,-0.2379
377,BX,106.14,-10.27,0.48,0.0485,-0.2386
378,BNDX,48.04,-0.95,0.4,0.6355,-0.2434
379,TD,93.83,-1.26,0.23,0.8809,-0.2529
380,UAA,6.47,-1.28,0.54,0.3656,-0.2546
381,AMZN,206.99,-1.57,0.35,0.4691,-0.258
382,BRK-B,492.34,-2.17,0.24,0.5123,-0.2698
383,FIZZ,34.94,-2.78,0.5,0.1935,-0.2712
384,EA,199.14,-1.67,0.17,0.9384,-0.2733
385,AIG,77.11,-2.72,0.21,0.4782,-0.2769
386,AAL,10.37,-2.78,0.57,0.1766,-0.2793
387,SE,85.44,-21.67,0.19,0.0687,-0.2825
388,KMB,99.22,-10.53,0.32,0.0846,-0.286
389,ICLN,18.36,-0.83,0.4,0.8886,-0.296
390,DEO,77.48,-24.66,0.36,0.0334,-0.2979
391,IGOV,40.91,-1.83,0.25,0.6514,-0.2982
392,FCEL,6.73,-2.2,0.45,0.3029,-0.3029
393,VTRS,13.75,-2.18,0.19,0.7363,-0.3046
